genres,gross
Action,760505847.0
Action,309404152.0
Action,200074175.0
Action,448130642.0
Documentary,0.0
Action,73058679.0
Action,336530303.0
Adventure,200807262.0
Action,458991599.0
Adventure,301956980.0
Action,330249062.0
Action,200069408.0
Action,168368427.0
Action,423032628.0
Action,89289910.0
Action,291021565.0
Action,141614023.0
Action,623279547.0
Action,241063875.0
Action,179020854.0
Adventure,255108370.0
Action,262030663.0
Action,105219735.0
Adventure,258355354.0
Adventure,70083519.0
Action,218051260.0
Drama,658672302.0
Action,407197282.0
Action,65173160.0
Action,652177271.0
Action,304360277.0
Action,373377893.0
Action,408992272.0
Adventure,334185206.0
Action,234360014.0
Adventure,268488329.0
Action,402076689.0
Action,245428137.0
Adventure,234903076.0
Action,202853933.0
Action,172051787.0
Adventure,191450875.0
Action,116593191.0
Adventure,414984497.0
Action,125320003.0
Action,350034110.0
Action,202351611.0
Action,233914986.0
Action,228756232.0
Adventure,65171860.0
Drama,144812796.0
Action,90755643.0
Action,101785482.0
Action,352358779.0
Action,317011114.0
Adventure,123070338.0
Adventure,237282182.0
Action,130468626.0
Adventure,223806889.0
Action,140080850.0
Action,166112167.0
Animation,137850096.0
Action,47375327.0
Action,124051759.0
Adventure,291709845.0
Action,154985087.0
Action,533316061.0
Adventure,292979556.0
Action,198332128.0
Action,318298180.0
Adventure,73820094.0
Action,113745408.0
Action,102176165.0
Action,161087183.0
Comedy,100289690.0
Action,100189501.0
Action,88246220.0
Action,150167630.0
Adventure,356454367.0
Adventure,362645141.0
Action,312057433.0
Action,155111815.0
Action,241407328.0
Action,208543795.0
Action,0.0
Action,38297305.0
Action,259746958.0
Adventure,238371987.0
Action,93417865.0
Action,222487711.0
Adventure,189412677.0
Adventure,665426.0
Action,102315545.0
Adventure,217387997.0
Action,150350192.0
Action,333130696.0
Adventure,187991439.0
Action,292568851.0
Action,0.0
Adventure,303001229.0
Action,144512310.0
Drama,127490802.0
Action,146405371.0
Adventure,281666058.0
Action,63143812.0
Action,60655503.0
Adventure,76846624.0
Adventure,320706665.0
Action,46978995.0
Action,89732035.0
Adventure,104383624.0
Action,198539855.0
Action,318759914.0
Action,34293771.0
Adventure,292000866.0
Adventure,289994397.0
Action,227946274.0
Drama,256386216.0
Adventure,206456431.0
Animation,206435493.0
Action,205343774.0
Action,179982968.0
Adventure,177243721.0
Action,179883016.0
Action,139259759.0
Adventure,400736600.0
Action,281492479.0
Action,206360018.0
Action,153629485.0
Mystery,133375846.0
Action,181015141.0
Adventure,114053579.0
Action,119420252.0
Action,83640426.0
Comedy,79711678.0
Action,195000874.0
Drama,61937495.0
Action,124051759.0
Adventure,126597121.0
Action,165230261.0
Action,131564731.0
Action,133382309.0
Action,73103784.0
Action,21379315.0
Adventure,64459316.0
Adventure,34964818.0
Adventure,111505642.0
Adventure,133228348.0
Adventure,216366733.0
Action,160201106.0
Action,118099659.0
Action,201573391.0
Action,190418803.0
Action,82161969.0
Action,143523463.0
Action,209364921.0
Adventure,103400692.0
Comedy,110332737.0
Action,111110575.0
Action,65007045.0
Action,257704099.0
Action,403706375.0
Action,176997107.0
Action,31141074.0
Action,31704416.0
Action,107503316.0
Action,129734803.0
Action,132122995.0
Action,122512052.0
Action,68642452.0
Action,32131830.0
Action,176636816.0
Action,126930660.0
Action,93926386.0
Adventure,292298923.0
Animation,63992328.0
Action,134518390.0
Action,0.0
Adventure,52792307.0
Adventure,183635922.0
Adventure,83024900.0
Adventure,123207194.0
Adventure,83348920.0
Action,227137090.0
Action,215395021.0
Action,180191634.0
Adventure,424645577.0
Adventure,292298923.0
Adventure,177343675.0
Adventure,234277056.0
Action,138396624.0
Action,149234747.0
Action,118311368.0
Action,101160529.0
Action,77564037.0
Adventure,249358727.0
Adventure,49551662.0
Action,60522097.0
Adventure,137748063.0
Action,0.0
